id,added,manager,contragent,task,confirmed,master,done,canceled,userc,more,status,location
38,25.03.2023 10:09,5195792294,300875636,"Заправка картриджей
 ( дог № 172 от 25.01.2020)",25.03.2023 10:20,596759592,25.03.2023 11:20,,,,3,
39,25.03.2023 10:44,5850789657,305196679,замена ЕК canon 2900 -1шт.,29.03.2023 10:26,301781583,29.03.2023 10:27,,,,3,
40,25.03.2023 11:16,5850789657,305191400,заправка принтера hp15w локация анхор парк лабзак,25.03.2023 11:33,563934644,25.03.2023 16:32,,,,3,
41,25.03.2023 11:56,5850789657,308931085,заправка canon 453,25.03.2023 12:01,563934644,25.03.2023 16:32,,,,3,
42,25.03.2023 12:39,821636275,202099756,"48847 Рц куйлюк
Заправка
935020306",25.03.2023 12:41,821636275,25.03.2023 15:54,,,,3,
43,25.03.2023 12:57,5195792294,306799489,"Караташ склад - Canon 325 
Офис - 352 
Просили сегодня Срочноо!!!",25.03.2023 13:55,596759592,25.03.2023 18:04,,,,3,
44,25.03.2023 14:06,563934644,205916449,"Заправка картриджей canon 264 
Новый картридж 057",25.03.2023 14:09,596759592,25.03.2023 18:04,,,,3,
45,25.03.2023 14:14,5195792294,303169768,"Заправка и ремонт 
canon 352x
дог 31 07,01,2020 г.",27.03.2023 08:45,432066117,27.03.2023 15:22,,,,3,
46,25.03.2023 14:33,5195792294,306799489,Самарканд Дарвоза hp m 130 (рядом с каб кассы),27.03.2023 08:29,563934644,27.03.2023 15:20,,,,3,
47,25.03.2023 15:52,821636275,202099756,"49860 Xk куйлюк
Заправка 901355058",25.03.2023 15:53,821636275,25.03.2023 17:11,,,,3,
48,25.03.2023 17:29,1669785252,203591761,"‼️⚠️‼️ВНИМАНИЕ‼️⚠️‼️

Заявка
Пользователь Ринат Мурзин (373370651)

Принтер Canon MF443dw
Профилактика
ОПЕРУ ""Капиталбанк""
Ринат +998933945821

Для прямой связи с заказчиком через ""Telegram"" - @Rinat_murzin",28.03.2023 10:30,301781583,29.03.2023 10:25,,,,3,
49,27.03.2023 08:47,432066117,202099756,"Lebazar
Epson 1455 ремонт, заправка",27.03.2023 08:58,432066117,27.03.2023 15:22,,,,3,
50,27.03.2023 09:17,5195792294,206548447,(На Венгерской ) Заправка картриджей около 10,27.03.2023 10:09,563934644,27.03.2023 15:20,,,,3,
51,27.03.2023 09:20,5195792294,304833993,i-sensys MF426dw-3 ( дог № 579 от 06.11.2020),27.03.2023 09:38,596759592,27.03.2023 09:38,,,,3,
52,27.03.2023 09:46,821636275,202099756,"49901 Корзинка Караташ
998466730
Заправка",27.03.2023 09:56,821636275,27.03.2023 11:57,,,,3,
53,27.03.2023 10:00,563934644,203366731,"Заправка картриджей 737,051 и 057 по несколько штук",27.03.2023 10:02,563934644,27.03.2023 15:20,,,,3,
54,27.03.2023 10:07,5195792294,205549984,"Замена ЕК 
057 - 5
737 - 9
226 - 4
728 -2",28.03.2023 10:31,301781583,29.03.2023 10:24,,,,3,
55,27.03.2023 10:54,5850789657,202841197,"заправка картриджей 728-7,44-2,737-2,505-2 возможно будет еще",27.03.2023 11:19,596759592,27.03.2023 19:00,,,,3,
56,27.03.2023 13:14,5850789657,304508415,заправка canon mf 211,27.03.2023 13:39,5057169611,27.03.2023 14:43,,,,3,
57,27.03.2023 13:15,821636275,202099756,"49917 Amore Mio
946947742 Отабек
Принтер не тянет бумагу",27.03.2023 13:22,596759592,27.03.2023 15:51,,,,3,
58,27.03.2023 13:17,821636275,202099756,"49919 Сергели 8
996379919
Заправка",27.03.2023 13:20,821636275,27.03.2023 16:41,,,,3,
59,27.03.2023 14:13,5195792294,206975479,"Canon 232-2 
дог № 49 ОТ 08.01.2020",27.03.2023 14:49,563934644,27.03.2023 17:23,,,,3,
60,27.03.2023 15:21,563934644,304144925,"Заправка картриджей 737,725.
Несколько штук",27.03.2023 15:23,563934644,27.03.2023 17:23,,,,3,
61,27.03.2023 15:50,5850789657,300071434,заправка canon 4410 canon pixma все цвета а на другой только цветные без черного (2 принтера),28.03.2023 09:22,596759592,28.03.2023 10:47,,,,3,
62,27.03.2023 16:03,5850789657,207009657,"заправка hp m28

 Собитов Рахматилла дополнил(а) заявку...
Клиэнт не поднимает трубку пожалуста дополнительные личные номера тоже спрашивайте!",28.03.2023 08:31,563934644,30.03.2023 17:05,,,,3,
63,27.03.2023 16:23,821636275,202099756,"49925 Ziolilar
998964045 Тимур 
Заправка",27.03.2023 16:26,5057169611,27.03.2023 18:46,,,,3,
64,27.03.2023 16:33,5850789657,305135397,заправка canon 411,28.03.2023 08:31,563934644,,28.03.2023 09:33,563934644,/start,4,
65,27.03.2023 16:40,821636275,202099756,"49926 Rakat
988001266
Замятие бумаги",27.03.2023 16:41,821636275,27.03.2023 18:50,,,,3,
66,27.03.2023 16:44,5195792294,305563166,Заправка canon mf 237 +1 новый картридж,28.03.2023 09:36,563934644,28.03.2023 12:16,,,,3,
67,27.03.2023 16:47,5195792294,207136784,"(Нархоз)
Canon 6140-3
Canon 2900-2",27.03.2023 19:01,596759592,27.03.2023 19:01,,,,3,
68,27.03.2023 17:41,5195792294,302979758,"(Сайрам)
Canon mf 3010-4 шт
Договор услуги 73 от 14.01.2021",28.03.2023 11:17,432066117,29.03.2023 01:13,,,,3,
69,28.03.2023 09:35,821636275,202099756,Problema: Korzinka - Yugnakiy.49939. Заправка принтера*. 977067137. Фахриддин. Заправка 2 картриджов LBP6030B Korzinka,28.03.2023 09:35,821636275,28.03.2023 12:10,,,,3,
70,28.03.2023 09:35,5195792294,307184423,"Canon mf 237-2
canon т 443 -1 скрипит при печати+ Заправка
Дог 639 от 19.10.2021",28.03.2023 11:52,5057169611,28.03.2023 13:13,,,,3,
71,28.03.2023 09:48,65241621,305135397,заправка canon 411,28.03.2023 09:48,5057169611,28.03.2023 10:46,,,,3,
72,28.03.2023 09:51,5850789657,202545501,после заправки плохо печатает в бухгалтерии,28.03.2023 09:58,563934644,28.03.2023 16:17,,,,3,
73,28.03.2023 10:05,5195792294,305191400,"задняя сторона госпитального базара
 canon 4730-1 
(Договор44  от 12.01.2021 )",28.03.2023 10:45,5057169611,28.03.2023 11:52,,,,3,
74,28.03.2023 10:07,5195792294,305191400,"Мега планет на Юнусабаде
canon MF 3010-1 
( Дог № 44  от 12.01.2021)
Анастасия +998950505577",28.03.2023 11:17,432066117,29.03.2023 01:12,,,,3,
75,28.03.2023 10:44,5195792294,306191265,"canon МФ237 - 2шт
HP Laser Jet M 1120 MFP
LaserJet Р1006  
дог № 39 от 21.01.2022",28.03.2023 15:19,563934644,28.03.2023 17:21,,,,3,
76,28.03.2023 10:51,5195792294,302913673,Забрать принтера на ремонт+ наш договор,30.03.2023 14:32,301781583,30.03.2023 16:10,,,,3,
77,28.03.2023 11:25,5195792294,302913673,"hp 521 8шт. + запчасти
hp 1102 2шт.
не забудьте про ракели от hp 521",28.03.2023 18:14,596759592,28.03.2023 18:15,,,,3,
78,28.03.2023 12:18,5195792294,207343702,"Заправка   и замена чипов canon IR 3125 (дог раз) 
Заправка каждый цвет 450 000
замена чипа каждый цвет 45 000
клиент согласен

 Ахмедова Шаира дополнил(а) заявку...
пока откладывают заявку

 Ахмедова Шаира дополнил(а) заявку...
Договор одобрели заявку надо выполнить 17.04.2023",17.04.2023 12:53,563934644,17.04.2023 14:38,,,"Мастер Собитов Рахматилла принял заявку 29.03.2023 07:27.
 14.04.2023 19:03отказался от выполнения",3,
79,28.03.2023 12:45,821636275,202099756,Problema: Korzinka - Shtab.49947. Заправка принтера*. 911655080. ИКРОМ. ЗАСТРЯЛА БУМАГА Korzinka,28.03.2023 12:45,821636275,28.03.2023 14:42,,,,3,
80,28.03.2023 13:16,821636275,202099756,Problema: Korzinka - Labzak.49951. Заправка принтера*. 974347848. Бобур. Заправка принтера* Korzinka,28.03.2023 13:33,5057169611,28.03.2023 15:31,,,,3,
81,28.03.2023 13:19,5195792294,305440557,"Переустановка Windows 
+998 97 434 64 64 Мадина 
Адрес :
Фуркат 17",29.03.2023 09:45,685927410,29.03.2023 11:38,,,,3,
82,28.03.2023 13:26,5850789657,304062141,"заправка canon 2900-7 
замена ролика подачи 1010",29.03.2023 09:22,596759592,29.03.2023 11:46,,,,3,
83,28.03.2023 13:46,563934644,309434394,Заправка картриджей и просит поменять бункер отработки,28.03.2023 16:17,563934644,28.03.2023 16:17,,,,3,
84,28.03.2023 14:12,5195792294,204065852,"Замена ЕК
226-1
2612-1
435-3
057-3
505-3
505*-5 (1 брак, внутри упаковки лист с подтверждением)
725-4
726-2",29.03.2023 10:24,301781583,29.03.2023 12:48,,,,3,
85,28.03.2023 14:39,5195792294,306799489,"(Сайрам  ) 
саnon 325 
+998998203553",29.03.2023 01:13,432066117,29.03.2023 01:13,,,,3,
86,28.03.2023 15:06,5195792294,302112254,"Заправка Canon 6030-1
Epson L3150-1 
https://maps.google.com/maps?q=41.289913,69.349128&ll=41.289913,69.349128&z=16",29.03.2023 01:17,432066117,29.03.2023 11:09,,,,3,
87,28.03.2023 15:09,5195792294,200838003,"canon 2900-2+ 2нов картриджа
canon 4730

 Ахмедова Шаира дополнил(а) заявку...
canon 2900-5+ 5 нов картриджей
canon mf 3220-1 +1нов картридж
canon 211-1 + 1 нов картридж",29.03.2023 13:10,596759592,29.03.2023 15:45,,,,3,
88,28.03.2023 15:49,821636275,202099756,Problema: РЦ Куйлюк.49955. Заправка принтера*. 909006127. Нуров Элёр. Не печатает принтер Korzinka,28.03.2023 15:50,821636275,28.03.2023 18:04,,,,3,
89,29.03.2023 08:28,821636275,202099756,Problema: Korzinka - Bektemir.49967. Заправка принтера*. 903265503. Фахриддин. все принтеры Korzinka,29.03.2023 08:28,821636275,29.03.2023 11:13,,,,3,
90,29.03.2023 09:58,821636275,202099756,Problema: Korzinka - Rakat.49970. Заправка принтера*. 973331514. САЛИМ. ЗАПРАВКА Korzinka,29.03.2023 09:59,5057169611,30.03.2023 11:22,,,,3,
91,29.03.2023 09:58,5195792294,206937019,"для IT отдела : зависает ПК
 ( ИНН 206937019 дог №85 от 10.02.2022 )
+998939787969 Индира",30.03.2023 14:38,685927410,30.03.2023 16:16,,,,3,
92,29.03.2023 10:19,5850789657,200543309,настройка активация пк +олная диагностика взять собой сетевые кабеля на мониторе замыкает кабель 7 компьютеров нужно будет полностью проверить,30.03.2023 10:14,685927410,30.03.2023 14:35,,,,3,
93,29.03.2023 10:28,5850789657,303330402,3 заправки canon 2900,29.03.2023 11:00,432066117,29.03.2023 14:32,,,,3,
94,29.03.2023 10:41,5850789657,309154506,заправка canon 264-3 canon 6030-1,31.03.2023 11:09,596759592,31.03.2023 13:39,,,,3,
95,29.03.2023 10:49,5195792294,306628114,"Сканер Canon DR-C230/240  Замена ролика подачи бумаги  Аэропорт, ул. Локомотивная, Здания летного комплекса 
(локация 4)
Тел: 90 3468172 – Сергей 
        99 8171622 – Ботир",29.03.2023 10:58,432066117,30.03.2023 08:22,,,,3,
96,29.03.2023 10:58,5195792294,205529921,"возле МЕЧЕТИ, ЭКОБАЗАР canon 6030
canon 4410 всего 6 заправок
Ребята пожалуйста заберите у нас акт сверки 
712637650 бухгалтер",29.03.2023 11:01,432066117,29.03.2023 14:32,,,,3,
97,29.03.2023 11:03,5195792294,203340511,"Замена ЕК 
737 - 13
728 - 7
435 - 5
2612 - 4
Договор услуги 46 от 12.01.2021",29.03.2023 16:02,301781583,29.03.2023 16:48,,,,3,
98,29.03.2023 11:12,5195792294,202965232,"canon 3411
Договор услуги LM00000141 от 08.02.2021",29.03.2023 13:15,563934644,29.03.2023 17:19,,,,3,
99,29.03.2023 11:39,5195792294,305440557,"Фуркат 17
canon mf  3010",29.03.2023 13:15,563934644,29.03.2023 16:48,,,,3,
100,29.03.2023 12:03,821636275,202099756,Problema: Korzinka - Boshliq.49982. Заправка принтера*. 903227668. Мирвахид Хидаев. Заправка принтера. Korzinka,29.03.2023 12:03,821636275,29.03.2023 14:52,,,,3,
101,29.03.2023 12:03,5850789657,206982240,заправка canon 4018+сканер плохо работает проверить,30.03.2023 08:11,432066117,30.03.2023 14:00,,,,3,
102,29.03.2023 12:52,5195792294,302863222,Canon 443-5 шт,30.03.2023 07:38,596759592,30.03.2023 10:49,,,,3,
103,29.03.2023 12:55,5195792294,306799489,"(Сайрам) вчера заправили принтер, но при печати дает черные листы
+998977781196",30.03.2023 14:00,432066117,31.03.2023 11:51,,,,3,
104,29.03.2023 13:53,5195792294,305088044,"1шт по адресу: ул.Мухаммад Юсуф, дом 1А. Ор-р кафе ""Evos""
Модель: Canon i-sensys MF 3010",30.03.2023 08:12,432066117,31.03.2023 08:20,,,,3,
105,29.03.2023 13:57,5195792294,305088044,"2шт по адресу: ул. Махтумкули, 75. ТЦ ""Арка"" 
Модель: Canon i-sensys LBP6030B;     Canon LBP6030B/6040/6018L V4",30.03.2023 08:12,432066117,31.03.2023 08:19,,,,3,
106,29.03.2023 14:18,5195792294,202564028,"Замена ЕК 
725 - 17
728 - 2
737 - 4
057 - 3
057H - 2
226-1
505x - 1",29.03.2023 14:20,301781583,29.03.2023 14:39,,,,3,
107,29.03.2023 14:51,821636275,202099756,Problema: FLO Chilanzar.49988. Заправка принтера REDTAG*. 993017678. Юлия Наливкина. Заправка принтера Фло Интегро Korzinka,29.03.2023 14:51,821636275,29.03.2023 16:55,,,,3,
108,29.03.2023 15:11,5850789657,307184423,заправка canon mf 237,29.03.2023 17:58,563934644,30.03.2023 11:58,,,,3,
109,29.03.2023 15:38,5195792294,307329461,"canon mf237 -1 
canon 3411-1
на 6 этаже каб 611/615 
при себе иметь документ",30.03.2023 11:01,563934644,30.03.2023 17:05,,,,3,
110,29.03.2023 16:30,821636275,202099756,Problema: Юнусабад Сайрам REDTAG.49993. Заправка принтера REDTAG*. 949299715. Тимур. Заправка принтера Korzinka,29.03.2023 16:31,5057169611,29.03.2023 17:53,,,,3,
111,30.03.2023 09:42,5195792294,309524550,"Заправка canon 641-3 шт. 
Сегодня просили Срочно!!!",30.03.2023 12:56,596759592,30.03.2023 16:07,,,,3,
112,30.03.2023 09:57,5195792294,205549984,"Замена ЕК
057 - 5
737 - 6
226 - 2
728 -1
2612-1",30.03.2023 10:06,301781583,30.03.2023 14:31,,,,3,
113,30.03.2023 10:17,5195792294,303505333,"canon 4018-2
canon 4410-2 +(2 нов картриджа)

 Ким Сергей дополнил(а) заявку...
+998909804890",30.03.2023 12:52,821636275,30.03.2023 16:09,,,,3,
114,30.03.2023 10:19,5195792294,207240048,"Замена ЕК
057 - 3
505 -5
737 -1
226 - 1",30.03.2023 10:22,301781583,30.03.2023 14:01,,,,3,
115,30.03.2023 10:21,5850789657,302946545,"замена картриджа новый  canon 4410-1 заправка -1 и проверить другие принтера

 Ахмедова Шаира дополнил(а) заявку...
+998998249056
https://maps.google.com/maps?q=41.329995,69.253831&ll=41.329995,69.253831&z=16",31.03.2023 10:28,432066117,31.03.2023 15:09,,,,3,
116,30.03.2023 10:25,5850789657,300644923,заправка 737-2 725-1,30.03.2023 10:48,596759592,30.03.2023 12:03,,,,3,
117,30.03.2023 11:15,5195792294,306628114,"1.    Q2612A  10 шт.  Аэропорт, ул. Локомотивная, Здания летного комплекса 
(локация 4)
Тел: 90 3468172 – Сергей 
        99 8171622 – Ботир    
2.    057H/CF259X  8 шт.  
3.    CF226A/052  2 шт.  
4.    737  1 шт.  
5.    725  2 шт.",30.03.2023 11:19,301781583,30.03.2023 16:42,,,,3,
118,30.03.2023 11:16,5195792294,306628114,"Canon LBP 226  Замена терма элемента и терма пленки  Аэропорт, ул. Локомотивная, Здания летного комплекса 
(локация 4)
Тел: 90 3468172 – Сергей 
        99 8171622 – Ботир",31.03.2023 11:52,432066117,31.03.2023 22:54,,,,3,
119,30.03.2023 11:23,5195792294,303296509,Canon 3010-1- заправка принтера,30.03.2023 11:39,563934644,30.03.2023 17:05,,,,3,
120,30.03.2023 11:40,563934644,202965232,нужны чернила на принтер Canon pixma g2411 все кроме черного,30.03.2023 11:44,563934644,30.03.2023 17:05,,,,3,
121,30.03.2023 13:15,5850789657,200547247,ЗАПРАВКА 3010-2 6030-1 2900-1,30.03.2023 13:27,5057169611,30.03.2023 16:19,,,,3,
122,30.03.2023 14:35,5850789657,306421208,"заправка hp 283 цветной в компасе

 Маякубов Мухиддин дополнил(а) заявку...
88 1313413",31.03.2023 11:09,596759592,31.03.2023 12:29,,,,3,
123,30.03.2023 17:14,5850789657,304062141,принтер pixma 1400 плохо печатает нужно проверить,31.03.2023 08:21,432066117,31.03.2023 10:08,,,,3,
124,30.03.2023 17:53,5195792294,305088044,"1шт по адресу: ул. Махтумкули, 75. ТЦ ""Арка"" 
 Canon LBP6030B/6040/6018L V4",31.03.2023 08:20,432066117,31.03.2023 10:30,,,,3,
125,31.03.2023 08:01,821636275,202099756,Problema: AddNot Отдел Red Tag.50039. Заправка принтера REDTAG*. 990775218. Марина. Заправка принтера Korzinka,31.03.2023 08:03,821636275,31.03.2023 10:52,,,,3,
126,31.03.2023 08:12,821636275,202099756,Problema: Korzinka - Riyoziy.50048. Заправка принтера*. 994726446. Ихлос. Заправка принтера Korzinka,31.03.2023 08:33,5057169611,31.03.2023 10:54,,,,3,
127,31.03.2023 08:38,5195792294,201053197,Заправка canon lbp2900-1,31.03.2023 12:59,5057169611,31.03.2023 17:09,,,,3,
128,31.03.2023 08:45,5195792294,207162739,"Canon mf 244-1 
canon mf 3010-1
canon  6030-1

 Ахмедова Шаира дополнил(а) заявку...
+998909778565",31.03.2023 12:55,5057169611,31.03.2023 17:09,,,,3,
129,31.03.2023 09:17,5850789657,300071434,"заправка 3010-2 филиал новза

 Маякубов Мухиддин дополнил(а) заявку...
93 0013038 Камилла",31.03.2023 13:32,563934644,31.03.2023 16:48,,,,3,
130,31.03.2023 09:14,5195792294,308143734,Canon MF110-1,03.04.2023 07:43,432066117,03.04.2023 11:03,,,,3,
131,31.03.2023 09:34,5195792294,308984115,Canon mf 232 4шт,03.04.2023 09:56,563934644,03.04.2023 15:53,,,,3,
132,31.03.2023 11:23,5195792294,202036604,canon 3010 2-3шт,31.03.2023 13:34,821636275,31.03.2023 16:47,,,,3,
133,31.03.2023 11:30,821636275,202099756,Problema: Korzinka - Oybek.50056. Заправка принтера*. 977153929. Акайдинова Гулчехра. Заправить катридж Korzinka,31.03.2023 11:30,821636275,31.03.2023 13:45,,,,3,
134,31.03.2023 11:58,5850789657,206996319,не работает пк,31.03.2023 12:13,685927410,31.03.2023 12:14,,,,3,
135,31.03.2023 12:07,5195792294,306799489,"Компас( Куйлюк) 
hp m28  у охраны",31.03.2023 13:39,596759592,31.03.2023 17:04,,,,3,
136,31.03.2023 12:08,5195792294,306799489,"Самарканд Дарвоза
Hp607- (касса) (принтер после ремонта ..снова бумага застревает)",31.03.2023 13:35,563934644,31.03.2023 17:18,,,,3,
137,31.03.2023 12:17,5850789657,303454270,заправка цветного принтера 283 черный цвет на понедельник,03.04.2023 09:55,563934644,03.04.2023 15:53,,,,3,
138,31.03.2023 12:18,5195792294,200935928,Canon lbp2900,31.03.2023 15:32,596759592,31.03.2023 17:04,,,,3,
139,31.03.2023 12:04,563934644,306870963,Заправка,31.03.2023 13:19,563934644,31.03.2023 13:20,,,,3,
140,31.03.2023 13:23,563934644,307236064,Заправка canon 3010-3шт,31.03.2023 13:24,563934644,31.03.2023 13:25,,,,3,
141,31.03.2023 13:25,563934644,308412295,Проблема с принтером Epson L805,31.03.2023 13:27,563934644,31.03.2023 13:28,,,,3,
142,31.03.2023 14:34,5195792294,305440557,"ул. Фуркат 17 
Canon mf 113

 Ахмедова Шаира дополнил(а) заявку...
по середине листа светлая печать",31.03.2023 16:11,563934644,31.03.2023 16:48,,,,3,
143,31.03.2023 15:54,821636275,202099756,Problema: Korzinka - Abay.50065. Заправка принтера*. 901202080. Nodirbek. Заправка принтера Korzinka,31.03.2023 15:55,5057169611,31.03.2023 17:09,,,,3,
144,31.03.2023 16:54,5850789657,207153599,Активация Windows,04.04.2023 12:43,685927410,04.04.2023 12:43,,,,3,
145,01.04.2023 08:10,821636275,202099756,Problema: AddNot Korzinka - Golden Life.50082. Заправка принтера*. 935470128. Йолдошев Шухрат. принтер не печатает Korzinka,01.04.2023 08:10,821636275,01.04.2023 09:53,,,,3,
146,01.04.2023 13:47,821636275,202099756,Problema: Korzinka - Rayhon.50097. Заправка принтера*. 950677929. Мелибоева Сайёра. Заправка принтера Korzinka,01.04.2023 13:47,821636275,01.04.2023 16:37,,,,3,
147,01.04.2023 16:36,821636275,202099756,Problema: Korzinka - Labzak.50102. Заправка принтера*. 974455455. Dilmurod. Printer Ne rabotaet Korzinka,01.04.2023 16:36,821636275,01.04.2023 18:10,,,,3,
148,02.04.2023 13:55,5195792294,201631768,"Бледно печатает Canon IR 2520
На понедельник после обеда.",03.04.2023 07:42,432066117,03.04.2023 17:45,,,,3,
149,03.04.2023 08:04,821636275,202099756,Problema: AddNot Korzinka - Oltintepa.50136. Заправка принтера*. 933900909. Акрамов Махир. Запрвка принтера в комнате Менеджера Korzinka,03.04.2023 08:05,821636275,03.04.2023 10:41,,,,3,
150,03.04.2023 08:54,821636275,202099756,Problema: Korzinka - Depo.50145. Заправка принтера*. 935334488. Бурхониддин. Заправка принтера Korzinka,03.04.2023 11:05,5057169611,03.04.2023 11:06,,,,3,
151,03.04.2023 08:52,5195792294,305960259,hp 1200,03.04.2023 10:21,596759592,03.04.2023 10:23,,,,3,
